sensor_id,location,user_name,temperature_c,humidity_pct,light_level_lux,motion_detected,battery_level_pct,event_time
sensor_1,Schultzton,Michael Cardenas,21.044259661174284,36.90020176255428,171.9246986477678,0,92.69541820212355,2025-10-13 21:35:31.273412
sensor_2,North Samuel,Matthew Gray,23.348361824876683,46.546816590858036,524.0638401614171,0,96.17210734368741,2025-10-13 21:35:32.273429
sensor_3,Katherinetown,Maria Pratt,25.172104682185658,64.64006392643667,744.6967784595088,0,73.60497848352928,2025-10-13 21:35:33.273433
sensor_4,East Kimberly,Christopher Bowman,26.8244567360782,35.31180246965093,551.5143940029316,1,89.76553512033954,2025-10-13 21:35:34.273434
sensor_5,Hunterport,Donna Landry,25.98629054494446,36.31956360998737,973.3156564273786,0,74.49665415854511,2025-10-13 21:35:35.273435
sensor_6,East Vanessa,Danielle Mcfarland,19.03383205698137,31.326955428448485,268.31270193277334,0,38.4971982216366,2025-10-13 21:35:36.273437
sensor_7,Lindsayton,Kathy Marsh,22.508326464043797,51.23808650900822,148.60970502564408,0,75.56077675145767,2025-10-13 21:35:37.273438
sensor_8,West Nancyside,Tanner Pittman,28.414881853202505,33.712843117002066,621.6247381324708,0,71.74916024899852,2025-10-13 21:35:38.273439
sensor_9,Scotttown,Jason Beltran,24.16395045465323,49.5371459835276,828.7289723045185,0,52.38236951567673,2025-10-13 21:35:39.273440
sensor_10,West Margaret,David Edwards,21.81738415731681,45.785371906810504,518.5797987250894,0,95.23109761553903,2025-10-13 21:35:40.273442
sensor_11,Amyville,Stephanie Jones,21.53217759285138,51.26072666175533,287.135953239297,1,46.92582243441568,2025-10-13 21:35:41.273443
sensor_12,North Joel,Kaitlyn Mitchell,19.59595755448731,36.014493041440836,134.8909152837037,0,40.83695745452984,2025-10-13 21:35:42.273444
sensor_13,Lake Brandonhaven,Ian Johnson,24.902472411564567,56.32063981025513,192.96147811227058,0,80.03339274636289,2025-10-13 21:35:43.273445
sensor_14,North Barbaraborough,Michelle Williams,25.21207422704697,37.10195537553675,477.5796602131313,1,83.23208089550438,2025-10-13 21:35:44.273446
sensor_15,West Amber,Darren Harper,19.027688228015982,36.10781328946001,350.368649749199,0,72.1796599692739,2025-10-13 21:35:45.273447
sensor_16,Dannyview,Brenda Brown,18.489585127362872,54.114791498976246,874.5692172140652,0,73.96575476468007,2025-10-13 21:35:46.273448
sensor_17,Heidiside,Timothy Guzman,24.797971566766275,65.04273448221663,221.46516674140716,0,80.79652414171989,2025-10-13 21:35:47.273450
sensor_18,Port Michael,Christian Foster,23.957596928238733,54.31976708989806,526.7637761607286,0,69.3020070768624,2025-10-13 21:35:48.273451
sensor_19,Elizabethchester,Amy Wade,20.11289548177614,48.04022687834075,708.9503852790996,1,47.635042890873926,2025-10-13 21:35:49.273452
sensor_20,New Melissa,Julie Krause,16.965974534806563,51.70171811130683,975.8378441933827,0,55.395532291622835,2025-10-13 21:35:50.273453
sensor_21,South Cherylton,Antonio Mcguire,20.51385350498064,54.03301187265887,479.1196116318668,0,59.25782161067502,2025-10-13 21:35:51.273454
sensor_22,Westchester,Cody Campbell,20.143563953709474,46.73528433008838,311.02597184096646,0,79.53155394161385,2025-10-13 21:35:52.273455
sensor_23,Ericberg,Kimberly Jackson,20.526320279156963,37.87339260626099,729.495754386821,0,54.51935341094866,2025-10-13 21:35:53.273457
sensor_24,Jeffreyville,Anthony Ford,26.544019548260486,63.34109669926805,589.6567479051039,1,35.25304134328621,2025-10-13 21:35:54.273458
sensor_25,East Timothy,Austin Allen,25.836303700217663,37.1865308574203,949.1285775793559,0,58.73691227478255,2025-10-13 21:35:55.273459
sensor_26,Port Christopherport,Mary Campbell,28.781887571775478,36.97847000760514,415.8231287935932,1,68.05517321367283,2025-10-13 21:35:56.273460
sensor_27,Jeffreybury,James Mason,22.075223002876953,38.25734338842531,774.711242457434,0,80.50562723930567,2025-10-13 21:35:57.273461
sensor_28,West Michael,Sarah Curry,16.367005812391255,47.997840777751534,896.8857589351657,0,44.17093306574017,2025-10-13 21:35:58.273462
sensor_29,New Nicolefort,Mark Obrien,21.40117259690648,50.80227586181831,610.0358229890955,0,93.7349298822967,2025-10-13 21:35:59.273463
sensor_30,South Stephanie,Michael Rogers,26.791659387482227,46.69191001621828,298.73614715083625,0,63.598951262345615,2025-10-13 21:36:00.273465
sensor_31,Charlesmouth,Robin Cooper,21.82223563031736,45.86290229569748,181.7679561789957,0,82.8574271214753,2025-10-13 21:36:01.273466
sensor_32,South Tamaraville,Joseph Mcdaniel,18.29825715493073,59.06992772873415,153.1280535459556,0,42.524960216068905,2025-10-13 21:36:02.273467
sensor_33,Port Adam,Sarah Anderson,25.017528381618153,60.30379764445897,504.87900003194943,1,61.78967684435634,2025-10-13 21:36:03.273468
sensor_34,Olsonfurt,Helen Rojas,21.971689185384115,47.77989943475775,469.10650818581854,0,81.79819384071479,2025-10-13 21:36:04.273469
